,Algorithm,Components,Clusters,Homogeneity,WCSS,Time
0,PCA,3,5,0.11890064200606282,6736.6339412576945,0.143365799999998
0,PCA,4,5,0.11537889367519354,9955.990759713535,0.15071659999998133
0,PCA,5,5,0.16003127724999755,12923.990267262969,0.1311956000000123
0,PCA,6,5,0.16043329494418634,15665.542558794154,0.1453621999999939
0,PCA,7,5,0.16085360102264135,18296.48995437933,0.22007530000001907
0,PCA,8,5,0.162412955882352,20675.142425988633,0.17230420000001345
0,PCA,9,5,0.1634455961039134,23004.48026368669,0.2476773999999864
0,PCA,10,5,0.1648336366621362,25296.69161083524,0.1686036000000115
0,PCA,11,5,0.16484233508148413,27441.18023124294,0.2018568000000016
0,PCA,12,5,0.1652411427296484,29455.67262967513,0.1922933000000171
0,PCA,13,5,0.16453656039583645,31517.764825615708,0.22621629999997594
0,PCA,14,5,0.16545622718680433,33540.91522768112,0.24779639999999858
0,PCA,15,5,0.1658946511728769,35525.48897901065,0.25519879999998807
0,PCA,16,5,0.16578118918805124,37473.54982831807,0.260171999999983
0,PCA,17,5,0.16614152254745307,39353.222073235775,0.18936859999999456
0,PCA,18,5,0.1660295919846161,41169.166759385516,0.29537189999999214
0,PCA,19,5,0.16597103981892425,42967.27518016905,0.28446520000002806
0,PCA,20,5,0.1658218212113451,44710.17078082348,0.2377849000000083
0,PCA,21,5,0.16637800532139846,46408.32650013999,0.3014268999999956
0,PCA,22,5,0.16685295412390155,48075.38584486739,0.3220329000000106
0,PCA,23,5,0.16691060245867945,49701.8064569051,0.33048619999999573
0,PCA,24,5,0.16764706873756866,51318.69528558583,0.29771679999998923
0,PCA,25,5,0.1661221943931894,52870.84176511609,0.3842241000000115
0,PCA,26,5,0.16602252505395398,54425.28005343837,0.314575700000006
0,PCA,27,5,0.16610405116704452,55941.22042085115,0.3805238999999858
0,PCA,28,5,0.16588890113837032,57452.454848006055,0.28857700000000364
0,PCA,29,5,0.16593758857470225,58908.97848808905,0.3540672000000029
0,PCA,30,5,0.16565962665873077,60324.270198262326,0.43783679999998526
0,PCA,31,5,0.16619901712518279,61735.647438735905,0.3629066000000023
0,PCA,32,5,0.16629907030207913,63114.00561635059,0.3887067000000002
0,PCA,33,5,0.16590533401241886,64478.78514419826,0.3819853999999907
0,PCA,34,5,0.16619832601758056,65805.62090772483,0.4072393999999804
0,PCA,35,5,0.1662801167494147,67121.44216899142,0.36718680000001314
0,PCA,36,5,0.16674178709833845,68411.05444643498,0.43565399999999954
0,PCA,37,5,0.16636290362368805,69692.72740379939,0.27728310000000533
0,PCA,38,5,0.16647786526122546,70959.50888714686,0.4101494999999886
0,PCA,39,5,0.16643786626608414,72212.2537969654,0.47964980000000423
0,PCA,40,5,0.1666455845790733,73443.68616613849,0.4092095000000029
0,PCA,41,5,0.16662326054276508,74662.82188449583,0.438782400000008
0,PCA,42,5,0.16651323128241524,75869.3889270749,0.3556024000000093
0,PCA,43,5,0.16643954530497135,77065.30163894809,0.39602579999998966
0,PCA,44,5,0.16684311258398488,78248.42555760304,0.4231403
0,PCA,45,5,0.16601558164651606,79415.63012526098,0.4102245999999923
0,PCA,46,5,0.16655330951113256,80579.11402771788,0.47141500000000747
0,PCA,47,5,0.1664236258958015,81730.97614197618,0.411133800000016
0,PCA,48,5,0.16666077466644816,82866.90276677816,0.44478509999999005
0,PCA,49,5,0.16681751439162298,83995.32957589498,0.46490140000000224
0,PCA,1,6,0.062307421226483035,437.716397545177,0.1238335000000177
0,PCA,2,6,0.10579433916299508,3142.154274400954,0.17984280000001718
0,PCA,3,6,0.12955990929060016,6060.892335218472,0.17582780000000753
0,PCA,4,6,0.11584209804907296,8745.110497000793,0.16209159999999656
0,PCA,5,6,0.16202010915550052,11586.678639029436,0.13910230000001889
0,PCA,6,6,0.16128594055797985,14301.133894210043,0.2313220000000058
0,PCA,7,6,0.16260057898615737,16908.958180367852,0.19584150000000022
0,PCA,8,6,0.1632436995845244,19263.333154397507,0.22978390000000104
0,PCA,9,6,0.16313326940817258,21575.994919441844,0.21972059999998805
0,PCA,10,6,0.16213108538383292,23842.400993477102,0.23224360000000388
0,PCA,11,6,0.16193564910336564,25973.426801097015,0.23360969999998815
0,PCA,12,6,0.16385897116882972,27980.20520474391,0.2489463999999657
0,PCA,13,6,0.1624996383623651,30042.474112047315,0.2801511999999775
0,PCA,14,6,0.16311148826082617,32065.873743400876,0.22311750000000075
0,PCA,15,6,0.16370352671584706,34021.07426476579,0.2449859000000174
0,PCA,16,6,0.16416291170814737,35966.78238179987,0.3041132000000175
0,PCA,17,6,0.16419221683196022,37845.667363420944,0.26184159999996837
0,PCA,18,6,0.16434596808118687,39660.687079866446,0.28363950000004934
0,PCA,19,6,0.16487398048315877,41458.60860379052,0.23606580000000577
0,PCA,20,6,0.165283799548324,43200.2707805759,0.3253583000000049
0,PCA,21,6,0.1649084227533136,44877.56234511287,0.32669839999999795
0,PCA,22,6,0.16578251857478893,46538.617265254936,0.4472293000000036
0,PCA,23,6,0.16531872054349486,48162.1989509301,0.30715800000001536
0,PCA,24,6,0.1661890989488667,49775.9009375523,0.3895466999999826
0,PCA,25,6,0.16633346548060646,51327.60929934211,0.3628659999999968
0,PCA,26,6,0.1656379437401418,52879.76608608155,0.38689030000000457
0,PCA,27,6,0.1663446611929599,54387.998697104544,0.40545750000001135
0,PCA,28,6,0.16599529909642655,55892.474544980585,0.35078390000001036
0,PCA,29,6,0.16549676549667602,57337.22787695723,0.3632787000000235
0,PCA,30,6,0.16602069080996185,58743.226501084966,0.35546059999995805
0,PCA,31,6,0.1662735299430977,60151.60720903506,0.37379800000002206
0,PCA,32,6,0.165304673767161,61530.72597148272,0.44991970000000947
0,PCA,33,6,0.1660217565006757,62890.25335409479,0.38193200000000616
0,PCA,34,6,0.16661875794615247,64217.91829778367,0.3990318999999545
0,PCA,35,6,0.1661200488859616,65532.86631478246,0.4281733999999915
0,PCA,36,6,0.16650475682256705,66809.23702119145,0.42511280000002216
0,PCA,37,6,0.16606046119407458,68079.70197476527,0.4152265999999827
0,PCA,38,6,0.16583896094492676,69345.37740887942,0.41749140000001717
0,PCA,39,6,0.16633115427339049,70585.69214893867,0.4251452000000313
0,PCA,40,6,0.16672788885438358,71816.9338668249,0.4348673000000076
0,PCA,41,6,0.16621545502644153,73029.16279461092,0.5377426000000014
0,PCA,42,6,0.16686850141907347,74234.28205657224,0.40311149999996587
0,PCA,43,6,0.16632285207378394,75430.07733624845,0.4097108000000276
0,PCA,44,6,0.1656037515240931,76610.3451241198,0.35527870000004214
0,PCA,45,6,0.16531820036830713,77780.04358304522,0.4961415999999872
0,PCA,46,6,0.16567115618951483,78939.73504834856,0.41373459999999795
0,PCA,47,6,0.16604717165016622,80091.37289859683,0.4457294000000047
0,PCA,48,6,0.1659504047163358,81228.90571417859,0.330820899999992
0,PCA,49,6,0.1657176944034511,82355.05964833073,0.4210221999999817
