,Algorithm,Components,Clusters,Homogeneity,Time
0,RCA,20,7,0.013370777690875756,1.1047463000000448
0,RCA,20,8,0.01266035564328025,1.2605877000000305
0,RCA,20,9,0.016477278492258718,1.351103999999964
0,RCA,20,10,0.019631154250736665,1.8927189999999996
0,RCA,20,11,0.015236163177550829,1.9309172000000103
0,RCA,20,12,0.024750339610136635,2.54557920000002
0,RCA,20,13,0.01404912698422063,2.260562200000038
0,RCA,20,14,0.014786568338392394,1.963600299999996
0,RCA,20,15,0.017313488702159277,1.8198225000000434
0,RCA,20,16,0.024654833230959447,2.302519399999994
0,RCA,20,17,0.020468468771037238,2.9902422000000115
0,RCA,20,18,0.014997756346422622,2.4236343000000033
0,RCA,20,19,0.025463762749132667,3.2184109000000376
0,RCA,21,1,0.0,0.03492190000002893
0,RCA,21,2,0.0008574038086897336,0.2616852999999537
0,RCA,21,3,0.0004951466212636393,0.33839649999998755
0,RCA,21,4,0.005119872476626676,0.6652139999999918
0,RCA,21,5,0.005736913925939896,0.8164622999999551
0,RCA,21,6,0.017187222665830993,1.6271838999999773
0,RCA,21,7,0.016785092291203774,1.0128172999999947
0,RCA,21,8,0.017444666401586217,1.3752494999999954
0,RCA,21,9,0.0114617898027432,1.2368884999999636
0,RCA,21,10,0.015316406460711347,2.4366491999999766
0,RCA,21,11,0.015131133798085937,2.357942400000013
0,RCA,21,12,0.013288423830032677,2.2233401999999955
0,RCA,21,13,0.013950577891884865,2.9107157000000257
0,RCA,21,14,0.011846142036703287,3.5458747999999787
0,RCA,21,15,0.009645781759749289,3.2765878000000157
0,RCA,21,16,0.011227241200236047,2.004455099999973
0,RCA,21,17,0.015024233965789687,2.6958372999999938
0,RCA,21,18,0.022111252979629514,4.610586099999978
0,RCA,21,19,0.022621893002497326,3.070711700000004
0,RCA,22,1,0.0,0.036789799999951356
0,RCA,22,2,0.00026886016279668927,0.23109969999995883
0,RCA,22,3,0.0006101829616031002,0.4191485000000057
0,RCA,22,4,0.005307148595947234,0.4620663000000036
0,RCA,22,5,0.007979734939985638,0.6694754000000103
0,RCA,22,6,0.00707329873073519,1.936186100000043
0,RCA,22,7,0.005023697118463003,1.933844699999952
0,RCA,22,8,0.01192058636800951,1.5884101000000328
0,RCA,22,9,0.0051458371723661816,2.1328500999999846
0,RCA,22,10,0.008894996408666409,3.19629759999998
0,RCA,22,11,0.015877001977151594,2.3336927999999943
0,RCA,22,12,0.008473075012270351,2.360691499999973
0,RCA,22,13,0.013006813301244783,2.054356299999995
0,RCA,22,14,0.009557121188174202,3.3266664999999875
0,RCA,22,15,0.021007472540755513,2.0175608000000125
0,RCA,22,16,0.020029929384102835,2.314531899999963
0,RCA,22,17,0.018573910778615796,2.892328500000019
0,RCA,22,18,0.018791575501476334,2.83892800000001
0,RCA,22,19,0.018619004798034623,2.691563400000007
0,RCA,23,1,0.0,0.037307300000009036
0,RCA,23,2,0.0008388631074034218,0.272782100000029
0,RCA,23,3,0.0021822145501443806,0.3314220999999975
0,RCA,23,4,0.0016425765307918924,0.4990477999999712
0,RCA,23,5,0.0032695575590856304,0.6996851000000106
0,RCA,23,6,0.00441086728466155,1.2915135000000078
