,Algorithm,Components,Clusters,AccuracyIn,AccuracyOut,Time
0,PCA,11,13,0.6421875,0.6355,1.246063300000003
0,PCA,11,14,0.773875,0.77325,1.5111582999999769
0,PCA,11,15,0.773875,0.77325,1.2133576999999605
0,PCA,11,16,0.7659375,0.764,6.2760131
0,PCA,11,17,0.7665,0.764,6.362100499999997
0,PCA,11,18,0.7571875,0.7545,4.774867799999981
0,PCA,11,19,0.5,0.5,3.559367400000042
0,PCA,12,0,0.8135,0.80775,7.935068999999999
0,PCA,12,1,0.5,0.5,0.11553000000003522
0,PCA,12,2,0.5,0.5,0.41535559999999805
0,PCA,12,3,0.631,0.631,0.8847346000000016
0,PCA,12,4,0.601875,0.613,0.41251920000001974
0,PCA,12,5,0.6784375,0.68125,0.7386154999999803
0,PCA,12,6,0.5,0.5,1.053364799999997
0,PCA,12,7,0.7338125,0.733,2.4222637000000304
0,PCA,12,8,0.7484375,0.749,2.5114661999999726
0,PCA,12,9,0.5581875,0.55525,3.0218452000000298
0,PCA,12,10,0.5581875,0.55525,3.675728100000015
0,PCA,12,11,0.7650625,0.76375,2.0444736000000034
0,PCA,12,12,0.7650625,0.76375,1.9052355000000034
0,PCA,12,13,0.56575,0.56075,1.9958588999999733
0,PCA,12,14,0.7731875,0.77225,1.391380300000037
0,PCA,12,15,0.7731875,0.77225,1.5556815999999571
0,PCA,12,16,0.7711875,0.7715,3.2779963000000407
0,PCA,12,17,0.7686875,0.77075,2.063457299999982
0,PCA,12,18,0.7716875,0.77175,2.1000583000000006
0,PCA,12,19,0.5,0.5,4.489095500000019
0,PCA,13,0,0.794375,0.797,1.2877566999999885
0,PCA,13,1,0.5,0.5,0.10163950000003297
0,PCA,13,2,0.5,0.5,0.2367684999999824
0,PCA,13,3,0.7495625,0.75075,0.3433656000000269
0,PCA,13,4,0.7495625,0.75075,0.40789910000000873
0,PCA,13,5,0.6243125,0.62825,0.5669426000000044
0,PCA,13,6,0.5,0.5,0.5973229999999603
0,PCA,13,7,0.7248125,0.7215,0.8342107000000283
0,PCA,13,8,0.74425,0.74725,1.3271055999999817
0,PCA,13,9,0.758875,0.76075,0.885616299999981
0,PCA,13,10,0.757375,0.75675,1.118019600000025
0,PCA,13,11,0.7731875,0.77225,0.8664555999999948
0,PCA,13,12,0.7731875,0.77225,1.8005436999999915
0,PCA,13,13,0.564875,0.5635,1.7220164999999952
0,PCA,13,14,0.769375,0.7695,2.29555449999998
0,PCA,13,15,0.5985,0.59675,2.280408799999975
0,PCA,13,16,0.769375,0.7695,2.634503299999949
0,PCA,13,17,0.769375,0.7695,3.2472766000000206
0,PCA,13,18,0.769375,0.7695,3.517516399999977
0,PCA,13,19,0.5,0.5,2.936835599999995
0,PCA,14,0,0.7949375,0.797,0.7428170999999679
0,PCA,14,1,0.5,0.5,0.1365845000000263
0,PCA,14,2,0.5,0.5,0.4877248000000236
0,PCA,14,3,0.5971875,0.60775,0.7017142999999919
0,PCA,14,4,0.61475,0.62325,1.1527783000000227
0,PCA,14,5,0.749375,0.74625,0.7872292999999786
0,PCA,14,6,0.5,0.5,0.867806499999972
0,PCA,14,7,0.6806875,0.68925,0.833248900000001
0,PCA,14,8,0.747375,0.74175,2.2300561999999786
0,PCA,14,9,0.758625,0.75225,4.1555720000000065
0,PCA,14,10,0.6401875,0.646,2.4333731999999486
0,PCA,14,11,0.7583125,0.75275,3.15297129999999
0,PCA,14,12,0.7583125,0.75275,3.35954449999997
0,PCA,14,13,0.5773125,0.572,3.189450900000054
0,PCA,14,14,0.77,0.76725,3.7491291000000047
0,PCA,14,15,0.5773125,0.572,3.2506885999999895
0,PCA,14,16,0.771,0.77,2.89263440000002
0,PCA,14,17,0.771,0.77,2.9744973999999615
0,PCA,14,18,0.6744375,0.675,5.246289500000046
0,PCA,14,19,0.5,0.5,8.077614499999981
0,PCA,15,0,0.795625,0.79725,0.7656235000000038
0,PCA,15,1,0.5,0.5,0.12957940000001145
0,PCA,15,2,0.5,0.5,0.18590119999998933
0,PCA,15,3,0.6485,0.64975,0.36101200000001654
0,PCA,15,4,0.765125,0.764,0.6336753000000499
0,PCA,15,5,0.584875,0.59025,0.8033764000000474
0,PCA,15,6,0.5,0.5,0.573270100000002
0,PCA,15,7,0.757625,0.75875,0.7053307999999561
0,PCA,15,8,0.746375,0.752,1.1507793000000106
0,PCA,15,9,0.7626875,0.766,2.152903600000002
0,PCA,15,10,0.7370625,0.742,1.9723599999999806
0,PCA,15,11,0.7448125,0.74825,2.4152315000000044
0,PCA,15,12,0.6705,0.67425,2.983091799999954
0,PCA,15,13,0.5,0.5,3.6146867999999586
0,PCA,15,14,0.7545,0.75875,1.937956999999983
0,PCA,15,15,0.60925,0.613,1.4679678999999624
0,PCA,15,16,0.7545,0.75875,3.3915645000000154
0,PCA,15,17,0.767375,0.77025,3.5321976999999833
0,PCA,15,18,0.767375,0.77025,4.897653899999966
0,PCA,15,19,0.5,0.5,5.1986727000000315
0,PCA,16,0,0.7989375,0.79975,2.245724600000017
0,PCA,16,1,0.5,0.5,0.14317719999996825
0,PCA,16,2,0.5,0.5,0.2445914000000471
0,PCA,16,3,0.7249375,0.72925,1.1458643999999936
0,PCA,16,4,0.7435,0.73825,0.9222647999999936
0,PCA,16,5,0.717625,0.715,0.9525821000000292
0,PCA,16,6,0.5,0.5,3.1385649999999714
0,PCA,16,7,0.762875,0.761,1.4412884999999847
0,PCA,16,8,0.7335,0.7315,2.1921424999999886
0,PCA,16,9,0.6195625,0.619,2.5508451000000036
0,PCA,16,10,0.7603125,0.75575,2.6133131999999932
0,PCA,16,11,0.6531875,0.6555,4.524876799999959
0,PCA,16,12,0.75625,0.7515,4.855209500000001
0,PCA,16,13,0.5821875,0.5815,5.680918399999996
0,PCA,16,14,0.765875,0.76875,4.343865700000038
0,PCA,16,15,0.6610625,0.66975,4.846387900000025
0,PCA,16,16,0.754875,0.756,3.334441799999979
0,PCA,16,17,0.7533125,0.75625,9.672941100000003
0,PCA,16,18,0.7546875,0.758,6.190818100000001
0,PCA,16,19,0.5,0.5,6.464246899999921
0,PCA,17,0,0.8180625,0.8135,3.0417780999999877
0,PCA,17,1,0.5,0.5,0.12752240000008896
0,PCA,17,2,0.5,0.5,0.41188499999998385
0,PCA,17,3,0.7495625,0.75075,0.4097494000000097
0,PCA,17,4,0.7550625,0.75475,0.5942357000000129
0,PCA,17,5,0.6485,0.64975,0.6940999000000829
0,PCA,17,6,0.5,0.5,0.7174649999999474
0,PCA,17,7,0.7248125,0.7215,0.9342182999999977
0,PCA,17,8,0.74325,0.744,1.2099140000000261
0,PCA,17,9,0.745625,0.74375,3.241702299999929
0,PCA,17,10,0.745625,0.74375,3.4450239999999894
0,PCA,17,11,0.745625,0.74375,3.73807649999992
0,PCA,17,12,0.7421875,0.73975,3.0124951000000237
0,PCA,17,13,0.5,0.5,2.880223200000046
0,PCA,17,14,0.75625,0.7555,2.043220799999972
0,PCA,17,15,0.612125,0.6095,3.021479900000031
0,PCA,17,16,0.7549375,0.7545,3.321649999999977
0,PCA,17,17,0.7583125,0.75575,3.2588088999999627
0,PCA,17,18,0.6678125,0.66425,3.2709916999999678
0,PCA,17,19,0.5,0.5,3.055287099999987
0,PCA,18,0,0.82575,0.8235,6.689939200000026
0,PCA,18,1,0.5,0.5,0.1599316000000499
0,PCA,18,2,0.5,0.5,0.26887599999997747
0,PCA,18,3,0.7495625,0.75075,0.6494715000000042
0,PCA,18,4,0.7248125,0.7215,0.7344477999999981
0,PCA,18,5,0.7248125,0.7215,0.7482929999999897
0,PCA,18,6,0.5,0.5,1.3806509000000915
0,PCA,18,7,0.7248125,0.7215,1.0071369000000914
0,PCA,18,8,0.74225,0.7495,2.3237067000000025
0,PCA,18,9,0.73675,0.73475,4.329397799999924
0,PCA,18,10,0.7365,0.73575,3.4444374000000835
0,PCA,18,11,0.7495625,0.75075,2.0622491999999966
0,PCA,18,12,0.7495625,0.75075,1.9528490000000147
0,PCA,18,13,0.5,0.5,3.1787032999999383
0,PCA,18,14,0.765125,0.764,2.8843262000000323
0,PCA,18,15,0.5573125,0.56025,3.597567799999979
0,PCA,18,16,0.7745,0.77325,5.614764899999955
0,PCA,18,17,0.7745,0.77325,4.586692800000037
0,PCA,18,18,0.7745,0.77325,4.689922899999942
0,PCA,18,19,0.5,0.5,4.963421999999923
0,PCA,19,0,0.8098125,0.8095,3.066076800000019
0,PCA,19,1,0.5,0.5,0.13517860000001747
0,PCA,19,2,0.5,0.5,0.216323799999941
0,PCA,19,3,0.7495625,0.75075,0.5361480999999912
0,PCA,19,4,0.7495625,0.75075,0.4566412000000355
0,PCA,19,5,0.63175,0.63375,0.4878019000000222
0,PCA,19,6,0.5,0.5,0.508833299999992
0,PCA,19,7,0.7495625,0.75075,0.8165910999999824
0,PCA,19,8,0.7184375,0.7205,1.7056768999999576
0,PCA,19,9,0.7495625,0.75075,1.3652650999999878
0,PCA,19,10,0.7545625,0.75375,1.4573514000001069
0,PCA,19,11,0.7545625,0.75375,2.8996362000000317
0,PCA,19,12,0.7545625,0.75375,3.412484900000095
0,PCA,19,13,0.5,0.5,2.898997300000019
0,PCA,19,14,0.756,0.7555,3.276842800000054
0,PCA,19,15,0.5955,0.593,3.0525925999999117
0,PCA,19,16,0.7636875,0.76075,5.51784269999996
0,PCA,19,17,0.763125,0.7615,4.59436919999996
0,PCA,19,18,0.699125,0.7075,4.062465299999985
0,PCA,19,19,0.5,0.5,4.279556599999978
0,PCA,20,0,0.8256875,0.82475,7.594844400000056
0,PCA,20,1,0.5,0.5,0.1286465999999109
0,PCA,20,2,0.5,0.5,0.6171884000000318
0,PCA,20,3,0.6203125,0.6255,0.4056397999999035
0,PCA,20,4,0.709875,0.71075,0.9970884000000524
0,PCA,20,5,0.7325625,0.7345,1.3021845999999186
0,PCA,20,6,0.5,0.5,0.7438257000000021
0,PCA,20,7,0.721375,0.7265,0.7317775999999867
0,PCA,20,8,0.7545625,0.75375,1.0574485999999297
0,PCA,20,9,0.7545625,0.75375,1.4627868000000035
0,PCA,20,10,0.7545625,0.75375,1.394218500000079
0,PCA,20,11,0.754,0.7565,1.453366200000005
0,PCA,20,12,0.751375,0.75175,1.6267014999999674
0,PCA,20,13,0.5,0.5,2.3627380000000358
0,PCA,20,14,0.7648125,0.76575,2.603654899999924
0,PCA,20,15,0.527625,0.527,2.9313214000000016
0,PCA,20,16,0.7021875,0.70175,2.4454971000000114
0,PCA,20,17,0.76725,0.7695,3.006437599999913
0,PCA,20,18,0.7703125,0.7695,4.711843899999963
0,PCA,20,19,0.5,0.5,3.596578499999964
0,PCA,21,0,0.824125,0.82075,5.281487000000084
0,PCA,21,1,0.5,0.5,0.16639069999996536
0,PCA,21,2,0.5,0.5,0.2521196999999802
0,PCA,21,3,0.7495625,0.75075,0.45580549999999675
0,PCA,21,4,0.7921875,0.79125,0.8898684000000685
0,PCA,21,5,0.7445,0.74025,1.039669799999956
0,PCA,21,6,0.5,0.5,1.8045851999999059
0,PCA,21,7,0.796375,0.79625,1.599999099999991
0,PCA,21,8,0.7495625,0.75075,1.2829635999999027
0,PCA,21,9,0.7545625,0.75375,1.5600500000000466
0,PCA,21,10,0.7506875,0.751,1.6942833999999038
0,PCA,21,11,0.7610625,0.7615,1.7594629000000168
0,PCA,21,12,0.7610625,0.7615,1.9642946000000165
0,PCA,21,13,0.500375,0.4965,1.7210278000000017
0,PCA,21,14,0.76175,0.7585,5.921376000000009
0,PCA,21,15,0.5329375,0.53175,6.073981600000025
0,PCA,21,16,0.7763125,0.77625,7.7132437999999865
0,PCA,21,17,0.7756875,0.7735,29.735799199999974
0,PCA,21,18,0.668875,0.6645,21.88925190000009
0,PCA,21,19,0.5,0.5,12.4351537
0,PCA,22,0,0.803125,0.79975,1.0223351999999295
0,PCA,22,1,0.5,0.5,0.14096309999990808
0,PCA,22,2,0.5,0.5,0.23669140000004063
0,PCA,22,3,0.7495625,0.75075,0.42809199999999237
0,PCA,22,4,0.7449375,0.7485,2.283321000000001
0,PCA,22,5,0.6599375,0.658,17.362242899999956
0,PCA,22,6,0.5,0.5,3.7676288000000113
0,PCA,22,7,0.746625,0.74175,12.724703800000043
